,StudentId,SessionStartTime,StudentClient,PaymentDate,PlanType
0,29037b0a52c5b576d32ac5842fd5b7e5991c5bef93150ffc6556edfd0da3999d,"(2017, 11, 12, 5, 18, 26)",Website,"(2017, 11, 14, 19, 52, 36)",Mensal
1,29037b0a52c5b576d32ac5842fd5b7e5991c5bef93150ffc6556edfd0da3999d,"(2017, 11, 12, 6, 50, 25)",Website,"(2017, 11, 14, 19, 52, 36)",Mensal
2,29037b0a52c5b576d32ac5842fd5b7e5991c5bef93150ffc6556edfd0da3999d,"(2017, 11, 12, 7, 10, 22)",Website,"(2017, 11, 14, 19, 52, 36)",Mensal
3,29037b0a52c5b576d32ac5842fd5b7e5991c5bef93150ffc6556edfd0da3999d,"(2017, 11, 12, 13, 29, 23)",Website,"(2017, 11, 14, 19, 52, 36)",Mensal
4,29037b0a52c5b576d32ac5842fd5b7e5991c5bef93150ffc6556edfd0da3999d,"(2017, 11, 14, 4, 49, 46)",Website,"(2017, 11, 14, 19, 52, 36)",Mensal
5,29037b0a52c5b576d32ac5842fd5b7e5991c5bef93150ffc6556edfd0da3999d,"(2017, 11, 14, 18, 48, 22)",Website,"(2017, 11, 14, 19, 52, 36)",Mensal
6,29037b0a52c5b576d32ac5842fd5b7e5991c5bef93150ffc6556edfd0da3999d,"(2017, 11, 14, 18, 50, 33)",Android,"(2017, 11, 14, 19, 52, 36)",Mensal
7,29037b0a52c5b576d32ac5842fd5b7e5991c5bef93150ffc6556edfd0da3999d,"(2017, 11, 14, 19, 49, 59)",Website,"(2017, 11, 14, 19, 52, 36)",Mensal
8,29037b0a52c5b576d32ac5842fd5b7e5991c5bef93150ffc6556edfd0da3999d,"(2017, 11, 14, 20, 50, 44)",Website,"(2017, 11, 14, 19, 52, 36)",Mensal
9,29037b0a52c5b576d32ac5842fd5b7e5991c5bef93150ffc6556edfd0da3999d,"(2017, 11, 14, 21, 50, 47)",Website,"(2017, 11, 14, 19, 52, 36)",Mensal
10,29037b0a52c5b576d32ac5842fd5b7e5991c5bef93150ffc6556edfd0da3999d,"(2017, 11, 14, 22, 51, 8)",Website,"(2017, 11, 14, 19, 52, 36)",Mensal
11,29037b0a52c5b576d32ac5842fd5b7e5991c5bef93150ffc6556edfd0da3999d,"(2017, 11, 14, 23, 52, 4)",Website,"(2017, 11, 14, 19, 52, 36)",Mensal
12,29037b0a52c5b576d32ac5842fd5b7e5991c5bef93150ffc6556edfd0da3999d,"(2017, 11, 15, 0, 52, 6)",Website,"(2017, 11, 14, 19, 52, 36)",Mensal
13,29037b0a52c5b576d32ac5842fd5b7e5991c5bef93150ffc6556edfd0da3999d,"(2017, 11, 15, 16, 16, 5)",Webapp,"(2017, 11, 14, 19, 52, 36)",Mensal
